menu_group,category,subcategory,suggested_url,page_type,query_count,total_volume,query_1,volume_1,query_2,volume_2,query_3,volume_3,query_4,volume_4,query_5,volume_5
4. Люди и отношения,Семья,Студийное,/promt-studiynogo-semeynogo-foto/,leaf,2,50,промт для студийного семейного фото,37,промт для семейного фото в студии,13,,,,,,
4. Люди и отношения,Семья,Черно-белое,/promt-cherno-belogo-semeynogo-foto/,leaf,3,144,промт для черно белого семейного фото,55,семейная фото промт чб,53,промт на черно белое фото семьи,36,,,,
5. Стили,Disney,Общие,/promt-foto-disney/,leaf,1,202,промт фото дисней,202,,,,,,,,
5. Стили,GTA,Общие,/promt-foto-gta/,leaf,4,589,промт на фото гта,409,промт для ии фото гта,117,промт для фото нейросети гта,41,промт на фото гта сан андреас,22,,
5. Стили,Love Is,Общие,/promt-foto-love-is/,leaf_split,5,884,промт для фото love is,632,промт для фото лав ис,159,промт для ии фото love is,54,промт для открытки love is по фото,21,промт для ии фото лав ис,18
5. Стили,Love Is,Общие,/promt-foto-laviz/,leaf_split,1,5,промт на фото лавиз,5,,,,,,,,
5. Стили,Аниме,Общие,/promt-anime-foto/,leaf,3,295,промт для аниме фото,267,промты для ии фото аниме,22,промт текст для фото в аниме стиле,6,,,,
5. Стили,Деловое,В костюме,/promt-foto-delovom-kostyume/,leaf,1,111,промт для фото в деловом костюме,111,,,,,,,,
5. Стили,Деловое,Общие,/promt-delovogo-foto/,leaf_split,5,1153,промт для делового фото,672,промт для фото в деловом стиле,215,промт для офисного фото,156,промт для ии деловое фото,64,промт для фото в офисном стиле,46
5. Стили,Деловое,Общие,/promt-muzhskogo-delovogo-foto/,leaf_split,3,43,промт для мужского делового фото,24,промт для фото делового стиля в офисе,11,промт для ии фото делового мужского,8,,,,
5. Стили,Мультяшное,В форме,/promt-sdelat-svoe-foto-multyashnom-stile/,leaf,1,7,промт сделать свое фото в мультяшном стиле,7,,,,,,,,
5. Стили,Мультяшное,Общие,/promt-multyashnoe-foto/,leaf,2,351,промт на мультяшное фото,224,промт для фото в мультяшном стиле,127,,,,,,
5. Стили,Открытка,23 февраля,/promt-foto-otkrytki-23-fevralya/,leaf,1,209,промт для фото открытки с 23 февраля,209,,,,,,,,
5. Стили,Открытка,8 марта,/promt-otkrytka-marta-foto/,leaf,1,48,промт открытка на 8 марта по фото,48,,,,,,,,
5. Стили,Открытка,9 мая,/promt-foto-otkrytka-maya/,leaf,1,6,промт фото открытка на 9 мая,6,,,,,,,,
5. Стили,Открытка,Новый год,/promt-foto-novogodnyaya-otkrytka/,leaf,1,43,промт фото новогодняя открытка,43,,,,,,,,
5. Стили,Открытка,Общие,/promt-otkrytki-foto/,leaf,2,306,промт для открытки из фото,197,промты для ии фото открытки,109,,,,,,
